Title,Composer,CatNo,Date,Range,Inst1,Inst2,Inst3,Genre,Subgenre,Species ,Species2,Nationality,Key,Modulation
Waltz for Electric Piano,Albeniz,,,1880-1899,Piano,,,OtherSolo,,Waltz,,Spain,Ab major,
Adagio in G-,Albinoni,FAKE,,1770-1800,Organ,,,OtherSolo,,,,Italy,G minor,
Concerto for Trumpet,Albinoni,Op9,1722,,Trumpet,Orchestra,,Concerto,,,,Italy,D major,
Sonata da Chiesa 1 Largo,Albinoni,Op9No2,1722,,Violin,Harpsichord,,ChamberSonata,,,,Italy,B minor,
Sonata da Chiesa 2 Allegro,Albinoni,Op9No2,1722,,Violin,Harpsichord,,ChamberSonata,,,,Italy,B minor,
Sonata da Chiesa 3 Adagio,Albinoni,Op9No2,1722,,Violin,Harpsichord,,ChamberSonata,,,,Italy,B minor,
Sonata da Chiesa 4 Allegro,Albinoni,Op9No2,1722,,Violin,Harpsichord,,ChamberSonata,,,,Italy,B minor,
Suite Introdutione Seconda 1 Prelude,Albinoni,,,1720-1750,Orchestra,,,OrchestralSuite,,,,Italy,G minor,
"Adagio e Fuga per due violini, viola, e violoncello 1 Adagio",Albrechtsberger,,,1780-1795,StringQuartet,,,StringQuartet,,,,Austria,D minor,
"Adagio e Fuga per due violini, viola, e violoncello 2 Fuga Allegro",Albrechtsberger,,,1780-1795,StringQuartet,,,StringQuartet,,,,Austria,D major,
Duet in A 1 Andante,Albrechtsberger,No3,,1780-1795,Violin,Cello,,Duet,,,,Austria,A minor,
Duet in A 2 Fugue Poco Allegro,Albrechtsberger,No3,,1780-1795,Violin,Cello,,Duet,,,,Austria,A minor,
Duet in C 1 Adagio,Albrechtsberger,No1,,1780-1795,Violin,Cello,,Duet,,,,Austria,C major,
Duet in C 2 Fugue Allegro Moderato,Albrechtsberger,No1,,1780-1795,Violin,Cello,,Duet,,,,Austria,C major,
Duet in D 1 Adagio,Albrechtsberger,No6,,1780-1795,Violin,Cello,,Duet,,,,Austria,D major,
Duet in D 2 Fugue Allegro,Albrechtsberger,No6,,1780-1795,Violin,Cello,,Duet,,,,Austria,D major,
Duet in E 1 Adagio ma non troppo,Albrechtsberger,No4,,1780-1795,Violin,Cello,,Duet,,,,Austria,E minor,
Duet in E 2 Fugue,Albrechtsberger,No4,,1780-1795,Violin,Cello,,Duet,,,,Austria,E minor,
Duet in F 1 Andantino,Albrechtsberger,No2,,1780-1795,Violin,Cello,,Duet,,,,Austria,F major,
Duet in F 2 Fugue Poco Allegro,Albrechtsberger,No2,,1780-1795,Violin,Cello,,Duet,,,,Austria,F major,
Duet in G 1 Adagio,Albrechtsberger,No5,,1780-1795,Violin,Cello,,Duet,,,,Austria,G major,
Duet in G 2 Fugue Allegretto,Albrechtsberger,No5,,1780-1795,Violin,Cello,,Duet,,,,Austria,G major,
Graduale,Albrechtsberger,,1783,,Organ,,,OtherSolo,,,,Austria,C major,
Gimm Sovjetskogo Soyuza,Alexandrov,,1943,,Orchestra,,,SongSecular,,,,Russia,C major,
12 Etudes dans les tons majeurs 1 Allegretto in A,Alkan,Op35,1847,,Piano,,,Etude,,,,France,A major,
12 Etudes dans les tons majeurs 10 Amor-Mors Adagio in Gb,Alkan,Op35,1847,,Piano,,,Etude,,,,France,Gb major,
12 Etudes dans les tons majeurs 11 Posement in B,Alkan,Op35,1847,,Piano,,,Etude,,,,France,B major,
12 Etudes dans les tons majeurs 4 Presto in C,Alkan,Op35,1847,,Piano,,,Etude,,,,France,C major,
12 Etudes dans les tons majeurs 5 Allegro barbaro in F,Alkan,Op35,1847,,Piano,,,Etude,,,,France,F major,
12 Etudes dans les tons majeurs 6 Allegramenta in Bb,Alkan,Op35,1847,,Piano,,,Etude,,,,France,Bb major,
12 Etudes dans les tons majeurs 7 Loincendie au Village Voisin Adagio-Allegro Moderato in Eb,Alkan,Op35,1847,,Piano,,,Etude,,,,France,Eb major,
12 Etudes dans les tons majeurs 9 Contrapunctus Amplement in C#,Alkan,Op35,1847,,Piano,,,Etude,,,,France,C# major,
12 Etudes dans les tons mineurs 1 Comme le Vent Prestissimamente in A-,Alkan,Op39No1,1857,,Piano,,,Etude,,,,France,A minor,
12 Etudes dans les tons mineurs 2 En Rhythm Molossique Risoluto in D-,Alkan,Op39No2,1857,,Piano,,,Etude,,,,France,D minor,
12 Etudes dans les tons mineurs 3 Scherzo Diabolique Pretissimo in G-,Alkan,Op39No3,1857,,Piano,,,Etude,,,,France,G minor,
12 Etudes dans les tons mineurs Concerto Mvt3 Allegretto alla barbaresca in F#-,Alkan,Op39No10,1857,,Piano,,,Etude,,,,France,F# minor,
12 Etudes dans les tons mineurs Le Festin DEsope Allegretto senza licenza quintunque in E-,Alkan,Op39No12,1857,,Piano,,,Etude,,,,France,E minor,
12 Etudes dans les tons mineurs Symphony Allegro Allegro Moderato in C-,Alkan,Op39No4,1857,,Piano,,,Etude,,,,France,C minor,
12 Etudes dans les tons mineurs Symphony Einale Presto in Eb,Alkan,Op39No7,1857,,Piano,,,Etude,,,,France,Eb minor,
12 Etudes dans les tons mineurs Symphony Marche Funebre Andantino in F-,Alkan,Op39No5,1857,,Piano,,,Etude,,,,France,F minor,
12 Etudes dans les tons mineurs Symphony Menuet Tempo di Minuetto in Bb-,Alkan,Op39No6,1857,,Piano,,,Etude,,,,France,Bb minor,Bb major
25 Preludes Deuxieme Suite 10 Dans le Style Fugue Tres Vite in a-,Alkan,Op31,1844,,Piano,,,Prelude,,,,France,A minor,
25 Preludes Deuxieme Suite 11 Un petit rien Assez Vite in F,Alkan,Op31,1844,,Piano,,,Prelude,,,,France,F major,
25 Preludes Deuxieme Suite 12 Le Temps Qui n'est Plus andante in Bb-,Alkan,Op31,1844,,Piano,,,Prelude,,,,France,Bb minor,
"25 Preludes Deuxieme Suite 13 Jetais Endormie, Mais mon Coeur Vellait Lentement in Gb",Alkan,Op31,1844,,Piano,,,Prelude,,,,France,Gb major,
25 Preludes Deuxieme Suite 14 Rapidement in B-,Alkan,Op31,1844,,Piano,,,Prelude,,,,France,B minor,B major
25 Preludes Deuxieme Suite 15 Danse le Genre Gothique Assez Vite in G,Alkan,Op31,1844,,Piano,,,Prelude,,,,France,G major,
25 Preludes Deuxieme Suite 16 assez Lentement in C-,Alkan,Op31,1844,,Piano,,,Prelude,,,,France,C minor,
25 Preludes Deuxieme Suite 17 Reve D'amour Assez Vite in Ab,Alkan,Op31,1844,,Piano,,,Prelude,,,,France,Ab major,
25 Preludes Premiere Suite 1 Lentement in C,Alkan,Op31,1844,,Piano,,,Prelude,,,,France,C major,
25 Preludes Premiere Suite 2 Assez Lentement in f-,Alkan,Op31,1844,,Piano,,,Prelude,,,,France,F minor,
25 Preludes Premiere Suite 3 Dans le genre ancien tres lentement in Db,Alkan,Op31,1844,,Piano,,,Prelude,,,,France,Db major,
25 Preludes Premiere Suite 4 Priere du Soir Assez Lentement in F#-,Alkan,Op31,1844,,Piano,,,Prelude,,,,France,F# minor,
25 Preludes Premiere Suite 5 Psaume 150me Avec Enthousiasme in D,Alkan,Op31,1844,,Piano,,,Prelude,,,,France,D major,
25 Preludes Premiere Suite 6 Ancienne Melodie de la Synagogue Andnate Flebile in g-,Alkan,Op31,1844,,Piano,,,Prelude,,,,France,G minor,
25 Preludes Premiere Suite 7 Librement mais sans Secousses in Eb,Alkan,Op31,1844,,Piano,,,Prelude,,,,France,Eb major,
25 Preludes Premiere Suite 8 La Chanson de la Folle au Bord de la Mer Lentemenet in Ab-,Alkan,Op31,1844,,Piano,,,Prelude,,,,France,Ab minor,
25 Preludes Premiere Suite 9 Placiditas Tranquillement in E-,Alkan,Op31,1844,,Piano,,,Prelude,,,,France,E major,
Barcarolle,Alkan,Op65No6,1864,,Piano,,,OtherSolo,,,,France,G minor,
Chante,Alkan,Op38aNo1,1857,,Piano,,,OtherSolo,,,,France,E major,
Concert Sonata for Piano and Cello FInale,Alkan,Op47,1860,,Piano,Cello,,ChamberSonata,,LastMovement,,France,E minor,
Esquisses 1 La Vision,Alkan,Op63,1861,,Piano,,,OtherSolo,,,,France,C major,
Esquisses 2 Le Staccatissimo,Alkan,Op63,1861,,Piano,,,OtherSolo,,,,France,F minor,
Etude de Concert Le Preux The Knight,Alkan,Op17,1844,,Piano,,,Etude,,,,France,Bb major,
Grand Sonate Les Quatre Ages 2 Quasi Faust,Alkan,Op33,1847,,Piano,,,ChamberSonata,,FastMovement,,France,Eb minor,
"Le Chemin De Fer, Etude",Alkan,Op27,1844,,Piano,,,Etude,,,,France,D minor,
Les Mois Gros Temps,Alkan,Op74Bk4No1,,1850-1870,Piano,,,OtherSolo,,,,France,D minor,
Les Mois Un Nuit Dete,Alkan,Op74Bk3No1,,1850-1870,Piano,,,OtherSolo,,,,France,A major,
Les Mois Une Nuite dHiver,Alkan,Op74No1,,1850-1870,Piano,,,OtherSolo,,,,France,G minor,
Saltarelle,Alkan,Op23,1844,,Piano,,,OtherSolo,,,,France,E minor,
Toccatina for Piano in C-,Alkan,Op75,,1850-1870,Piano,,,OtherSolo,,,,France,C minor,
Trois Grandes Etudes,Alkan,Op76No1,1840,,Piano,,,Etude,,,,France,Ab major,
Trois Grandes Etudes,Alkan,Op76No2,1840,,Piano,,,Etude,,,,France,D major,
Trois Grandes Etudes,Alkan,Op76No3,1840,,Piano,,,Etude,,,,France,C minor,
Polonaise,Ambroise,,1866,,Piano,,,OtherSolo,,Polonaise,,France,Bb major,
24 Etudes Techniques pour Flute Agitato,Andersen,Op63No3,,1895-1900,Flute,,,Etude,,,,,G major,
24 Etudes Techniques pour Flute Allegretto,Andersen,Op63No23,,1895-1900,Flute,,,Etude,,,,,F major,
24 Etudes Techniques pour Flute Allegretto,Andersen,Op63No1,,1895-1900,Flute,,,Etude,,,,,C major,
24 Etudes Techniques pour Flute Allegretto,Andersen,Op63No17,,1895-1900,Flute,,,Etude,,,,,Ab major,
24 Etudes Techniques pour Flute Allegretto,Andersen,Op63No9,,1895-1900,Flute,,,Etude,,,,,E major,
24 Etudes Techniques pour Flute Allegro Giusto,Andersen,Op63No21,,1895-1900,Flute,,,Etude,,,,,Bb major,
24 Etudes Techniques pour Flute Allegro Ma Non Troppo,Andersen,Op63No20,,1895-1900,Flute,,,Etude,,,,,C minor,
24 Etudes Techniques pour Flute Allegro,Andersen,Op63No10,,1895-1900,Flute,,,Etude,,,,,C# minor,
24 Etudes Techniques pour Flute Allegro,Andersen,Op63No11,,1895-1900,Flute,,,Etude,,,,,B major,
24 Etudes Techniques pour Flute Allegro,Andersen,Op63No13,,1895-1900,Flute,,,Etude,,,,,Gb major,
24 Etudes Techniques pour Flute Allegro,Andersen,Op63No18,,1895-1900,Flute,,,Etude,,,,,F minor,
24 Etudes Techniques pour Flute Allegro,Andersen,Op63No2,,1895-1900,Flute,,,Etude,,,,,A minor,
24 Etudes Techniques pour Flute Allegro Risoluto,Andersen,Op63No6,,1895-1900,Flute,,,Etude,,,,,B minor,
24 Etudes Techniques pour Flute Allegro Vivace,Andersen,Op63No24,,1895-1900,Flute,,,Etude,,,,,D minor,
24 Etudes Techniques pour Flute Andante,Andersen,Op63No12,,1895-1900,Flute,,,Etude,,,,,G# minor,
24 Etudes Techniques pour Flute Andante,Andersen,Op63No14,,1895-1900,Flute,,,Etude,,,,,Eb minor,
24 Etudes Techniques pour Flute Andantino,Andersen,Op63No16,,1895-1900,Flute,,,Etude,,,,,Bb minor,
24 Etudes Techniques pour Flute Moderato animato,Andersen,Op63No7,,1895-1900,Flute,,,Etude,,,,,A major,
24 Etudes Techniques pour Flute Moderato,Andersen,Op63No22,,1895-1900,Flute,,,Etude,,,,,G minor,
24 Etudes Techniques pour Flute Moderato,Andersen,Op63No15,,1895-1900,Flute,,,Etude,,,,,Db major,
24 Etudes Techniques pour Flute Moderato,Andersen,Op63No5,,1895-1900,Flute,,,Etude,,,,,D major,
24 Etudes Techniques pour Flute Prestissimo,Andersen,Op63No8,,1895-1900,Flute,,,Etude,,,,,F# minor,
24 Etudes Techniques pour Flute Presto,Andersen,Op63No4,,1895-1900,Flute,,,Etude,,,,,E minor,
24 Etudes Techniques pour Flute Vivace,Andersen,Op63No19,,1895-1900,Flute,,,Etude,,,,,Bb major,Eb major
Triosonate,Anna Amalia,,1748,,Piano,,,SoloSonata,,,,Germany,D major,
Adeste Fideles O come all ye faithful,Anonymous,,,,Orchestra,,,OtherTextedSacred,,,,,G major,
Amurskiye Volny,Anonymous,,,,Orchestra,,,Prelude,,,,Russia,C minor,
Baloo Loo Lammy,Anonymous,,,,Orchestra,,,Prelude,,,,Scotland,E major,
Beryozka Little Birth Tree by B. Schiller,Anonymous,,,,Orchestra,,,Prelude,,,,Russia,D minor,
"Brazil Three Antiphons from Minas Gerais, 19th Century Cui Comparabo Te",Anonymous,,,1850-1900,Orchestra,,,OtherTextedSacred,,,,Brazil,C minor,
"Brazil Three Antiphons from Minas Gerais, 19th Century Vide Domine Quoniam Tribulor",Anonymous,,,1850-1900,Orchestra,,,OtherTextedSacred,,,,Brazil,C major,
"Brazil Three Antiphons from Minas Gerais, 19th Century Vidit Suum Dulcem Natum",Anonymous,,,1850-1900,Orchestra,,,OtherTextedSacred,,,,Brazil,Eb major,
Canon N,Anonymous,,,,Piano,,,Canon,,,,,C major,
Canzone,Anonymous,,,,Guitar,,,OtherSolo,,,,,D major,
Catalan Melodies Catalan Melodies La Filla del Marxant in E,Anonymous,,,,Guitar,,,OtherSolo,,,,,E major,
Catalan Melodies El noy de la Mare in D,Anonymous,,,,Guitar,,,OtherSolo,,,,,D major,
Catalan Melodies El Testamento de Amalia in D-,Anonymous,,,,Guitar,,,OtherSolo,,,,Brazil,D minor,
Caverna do Togro,Anonymous,,,,Piano,,,OtherSolo,,,,,Undeterminable,
Christmas Angels we have heard on high,Anonymous,,,,Piano,,,OtherTextedSacred,,,,,Ab major,
Christmas As lately we watched,Anonymous,,,,Orchestra,,,OtherTextedSacred,,,,,G major,
Christmas Away in a manger,Anonymous,,,,Orchestra,,,OtherTextedSacred,,,,,F major,
Christmas Cantique de Noel O holy night,Anonymous,,,,Orchestra,,,OtherTextedSacred,,,,,C major,
Christmas Christ was born on Christmas day,Anonymous,,,,Orchestra,,,OtherTextedSacred,,,,,F major,
Christmas Christmas is coming,Anonymous,,,,Orchestra,Guitar,,OtherTextedSacred,,,,,Gb major,
Christmas Come all ye shepherds,Anonymous,,,,Piano,,,OtherTextedSacred,,,,,F major,
Christmas Deck the halls,Anonymous,,,,Orchestra,,,OtherTextedSacred,,,,,F major,
Christmas Ding dong merrily on high,Anonymous,,,,Orchestra,,,OtherTextedSacred,,,,,Bb major,
Christmas Go tell it on the mountain,Anonymous,,,,Orchestra,,,OtherTextedSacred,,,,,F major,
Christmas God rest you merry gentlemen,Anonymous,,,,Orchestra,,,OtherTextedSacred,,,,,F# minor,
Christmas Hear the angel voices,Anonymous,,,,Orchestra,,,OtherTextedSacred,,,,,Ab major,
Christmas Let's go to Bethlehem Christmas Song,Anonymous,,,,Orchestra,,,OtherTextedSacred,,,,,D major,
Christmas Masters in this hall,Anonymous,,,,Orchestra,,,OtherTextedSacred,,,,,B minor,
Christmas O I wonder as I wander,Anonymous,,,,Harp,Piano,,OtherTextedSacred,,,,,B minor,
Christmas O Sanctissima Oh how joyfully,Anonymous,,,,Orchestra,,,OtherTextedSacred,,,,,D major,
Christmas O tannenbaum,Anonymous,,,,Piano,,,OtherTextedSacred,,,,,C major,
Christmas The first noel,Anonymous,,,,Orchestra,,,OtherTextedSacred,,,,,C major,
Christmas The Holly and the Ivy,Anonymous,,,,Orchestra,,,OtherTextedSacred,,,,,F major,Bb major
Christmas Up on the Housetop,Anonymous,,,,Orchestra,,,OtherTextedSacred,,,,,E major,
Christmas Vieux Noel,Anonymous,,,,Orchestra,,,OtherTextedSacred,,,,,G minor,
Christmas We wish you a Merry Christmas,Anonymous,,,,Orchestra,,,OtherTextedSacred,,,,,A major,
Christmas While shepherds watched their flocks,Anonymous,,,,Orchestra,,,OtherTextedSacred,,,,,E major,
Ciganoch Variations-Two Tzigannes,Anonymous,,,,Orchestra,,,Prelude,,,,Russia,D minor,
"Committee of the Chinese Ministry of Culture, Beijing Blossoms",Anonymous,,,,Orchestra,,,Prelude,,,,China,E major,F# minor
"Committee of the Chinese Ministry of Culture, Beijing Spring",Anonymous,,,,Orchestra,,,Prelude,,,,China,G major,
Dark Eyes,Anonymous,,,,Guitar,,,OtherSolo,,,,Russia,A minor,
De Nativitate D.N. Jesu Christi Zu unstres Haren Geburt,Anonymous,,,,Piano,Clarinet,,Duet,,,,,F major,
Die Zufriedenheit im niedrigen stande,Anonymous,,,,Piano,Clarinet,,Duet,,,,,F major,
Four Practice Pieces in a Key of C Chopsticks,Anonymous,No1,,1880-1900,Piano,,,OtherSolo,,,,,C major,
Four Practice Pieces in a Key of C Chopsticks,Anonymous,No2,,1880-1900,Piano,,,OtherSolo,,,,,C major,
Four Practice Pieces in a Key of C Chopsticks,Anonymous,No3,,1880-1900,Piano,,,OtherSolo,,,,,Gb major,
Four Practice Pieces in a Key of C Chopsticks,Anonymous,No4,,1880-1900,Piano,,,OtherSolo,,,,,G major,
Funiculi Funicula,Anonymous,,,,Piano,,,OtherSolo,,,,Italy,F major,
Geheime Liebe,Anonymous,,,,Piano,Clarinet,,Duet,,,,,G major,
Greensleeves,Anonymous,,,,Recorder,,,Duet,,,,,G minor,
Hatikva Israeli National Anthem,Anonymous,,,,Orchestra,,,Prelude,,,,,C major,
Kalinka,Anonymous,,,,Orchestra,,,Prelude,,,,Russia,A minor,
Karello Finska Polketten,Anonymous,,,,Bass,Guitar,,Trio,,,,Finland,C minor,
Katibim,Anonymous,,,,Orchestra,,,Prelude,,,,,A minor,
Kdoz jste Bozi bojovnici,Anonymous,,,,Trumpet,,,MiscWindEnsemble,,,,,D minor,
Kham Hom Sweet Words,Anonymous,,,,Orchestra,,,Prelude,,,,Thailand,F major,
La Fayette's Welcome to Philadelophia,Anonymous,,,,Piano,,,OtherSolo,,,,,C major,
Maschearada,Anonymous,,,,Guitar,,,OtherSolo,,,,,D major,
Minuet for Guitar,Anonymous,,,,Harp,,,OtherSolo,,,,,D minor,
Prayer of St. Francis Andante Expressione,Anonymous,,,,Organ,,,OtherSolo,,,,,C major,
Sagrao de Konzert,Anonymous,,,,Piano,,,OtherSolo,,,,,Undeterminable,
Sakura,Anonymous,,,,Harp,Flute,,Duet,,,,Japan,D minor,
